id;Editeur(s)
231;Conseil Général des Ponts et Chaussées
232;Conseil Général de la Gironde
233;Conseil des élus du Pays Basque
234;Conseil de Développement du Pays Basque
235;CONFERENCE HABITAT SOCIAL PAYS BASQUE SUD LANDES
236;Communauté Urbaine de Bordeaux
237;Communauté de communes du Seignanx
238;Communauté de communes du Pays de Nay
239;Communauté d'Agglomération Pau-Pyrénées
240;Communauté d'Agglomération Pau Porte des Pyrénées
241;Communauté d'Agglomération Pau Béarn Pyrénées
242;Communauté d'Agglomération du Pays Basque
243;Commissariat général au développement durable
244;Comité du bassin Adour-Garonne
245;CNFPT
246;Champ Vallon
247;Chambre d'agriculture des Pyrénées-Atlantiques
248;CGET
249;CGEDD
250;CESER Aquitaine
251;CESE - CONSEIL ÉCONOMIQUE, SOCIAL ET ENVIRONNEMENTAL
252;CERTU - ETD
253;Certu - Ademe
254;Certu
255;CEREMA - Direction technique Territoires et ville
256;CEREMA
257;CDU
258;CCI Pays Basque
259;Carré
260;Caisse des Dépôts et Consignations - FNAU
261;Caisse des dépôts et consignations
262;C.A.U.E
263;C. Nature 
264;BRGM
265;Berger Levrault
266;Belveder
267;Autrement
268;Ausonius Éditions
269;Ausonius
270;AURG
271;AURBSE
272;AURAV
273;AURAN
274;Aura
275;AULAB
276;AUDRSO
277;AUDRR
278;Audélor
279;AUDAP
280;AUCAME
281;Aubéron
282;AUAT
283;aua / Toulouse aire métropolitaine
284;ATU
285;Atout France
286;Association Supastera
287;Assemblée nationale / Sénat
288;ARTEAZ
289;AROSHA
290;Armand Colin
291;Arcitecture Patrimoines Lavigne SARL
292;ARCHITECTURE PATRIMOINES LAVIGNE SARL
293;Archibooks
294;APCE
295;ANTIC
296;ANRU
297;ANR
298;ANIL - FNAU
299;ANIL
300;Amiens Métropole
301;"AMF ; AdCF"
302;AMC
303;Albin Michel
304;AIVP
305;AIRAQ
306;AGUR
307;Agglomération Côte Basque-Adour
308;Agglo Sud Pays Basque
309;Agences d'urbanisme en Auvergne-Rhône-Alpes
310;Agence Régional de Santé Nouvelle-Aquitaine
311;Agence Innovapresse
312;Agence de l'Eau Adour-Garonne
313;Agence de l'Eau Adour - Garonne
314;Agence de développement et d'urbanisme de Lille Métropole
315;Agence d'urbanisme pour le développement de l'agglomération lyonnaise
316;Agence d'Urbanisme Oise-la-Vallée
317;Agence d'Urbanisme et de Développement de la Vallée de l'Oise
318;Agence d'Urbanisme et d'Aménagement de la Martinique
319;Agence d'Urbanisme de la région grenobloise (AURG)
320;Agence d'urbanisme de la région grenobloise
321;Agence d'Urbanisme Catalane
322;AGAM
323;afilog
324;AEC
325;AEAG
326;ADUGA
327;ADUAN
328;ADU Lille Métropole / INSEE
329;ADEUS
330;ADEPAB
331;ADEME
332;ADEF
333;AdCF - FNAU
334;ADCF
335;Actes Sud
336;ACBA
337;Academia del Hispanismo
338;A'urba
